ID,Warehouse_block,Mode_of_Shipment,Customer_care_calls,Customer_rating,Cost_of_the_Product,Profit,Prior_purchases,Product_importance,Order_date,Ship_Date,Gender,Discount_offered,Weight_in_gms,Reached.on.Time_Y.N,Product Category,Product sub Category
6670,B,Ship,3,1,266,13.3,5,low,17-07-2022,22-07-2022,M,1,5459,0,Furniture,Storage & Organizations
6671,C,Ship,3,2,243,12.15,4,medium,19-12-2021,26-12-2021,M,4,4410,1,Office Supplies,Storage & Organizations
6672,F,Ship,4,5,224,11.2,6,high,15-07-2020,18-07-2020,F,5,5659,1,Office Supplies,Storage & Organizations
6673,D,Ship,3,5,153,7.65,4,low,14-01-2021,16-01-2021,F,10,5897,0,Furniture,Storage & Organizations
6674,F,Ship,4,2,232,11.6,3,medium,25-11-2021,30-11-2021,F,7,5737,1,Office Supplies,Storage & Organizations
6675,A,Ship,3,3,253,12.65,3,medium,09-06-2023,19-06-2023,M,5,4754,1,Office Supplies,Storage & Organizations
6676,B,Ship,3,3,150,7.5,3,low,25-09-2020,28-09-2020,M,5,5328,0,Furniture,Storage & Organizations
6677,C,Ship,4,3,198,9.9,2,low,01-11-2021,05-11-2021,M,5,5724,1,Furniture,Storage & Organizations
6678,F,Ship,4,4,231,11.55,3,low,11-02-2023,19-02-2023,M,9,4305,1,Furniture,Storage & Organizations
6679,D,Ship,3,5,135,6.75,2,medium,19-04-2021,28-04-2021,F,9,5614,1,Office Supplies,Storage & Organizations
6680,F,Ship,5,4,153,7.65,3,low,08-08-2021,18-08-2021,M,5,4711,1,Furniture,Storage & Organizations
6681,A,Ship,4,2,201,10.05,2,low,16-04-2022,20-04-2022,M,3,4869,1,Furniture,Storage & Organizations
6682,B,Ship,4,4,273,13.65,2,medium,25-07-2021,04-08-2021,M,6,5676,1,Office Supplies,Storage & Organizations
6683,C,Ship,5,4,245,12.25,3,high,12-07-2020,21-07-2020,M,4,4298,0,Office Supplies,Storage & Organizations
6684,F,Ship,4,4,157,7.85,2,low,06-02-2020,08-02-2020,M,9,4491,1,Furniture,Storage & Organizations
6685,D,Ship,4,3,150,7.5,2,high,18-12-2021,25-12-2021,F,8,4965,1,Office Supplies,Storage & Organizations
6686,F,Ship,3,3,243,12.15,2,low,26-03-2022,02-04-2022,M,3,4675,1,Furniture,Storage & Organizations
6687,A,Road,4,5,105,5.25,5,high,07-07-2021,16-07-2021,M,4,5824,1,Office Supplies,Storage & Organizations
6688,B,Road,5,4,221,11.05,5,low,13-10-2022,19-10-2022,M,6,5059,0,Furniture,Storage & Organizations
6689,C,Road,3,1,236,11.8,6,medium,07-11-2020,10-11-2020,F,10,4858,0,Office Supplies,Storage & Organizations
6690,F,Road,4,4,263,13.15,3,medium,17-01-2022,19-01-2022,M,5,4193,0,Office Supplies,Storage & Organizations
6691,D,Road,3,3,213,10.65,2,low,07-07-2022,16-07-2022,M,10,5495,0,Furniture,Storage & Organizations
6692,F,Road,6,1,259,12.95,3,low,26-03-2021,29-03-2021,F,3,5683,0,Furniture,Storage & Organizations
6693,A,Road,4,2,190,9.5,3,medium,19-12-2022,25-12-2022,M,7,4766,0,Office Supplies,Storage & Organizations
6694,B,Road,3,5,213,10.65,4,medium,16-03-2023,21-03-2023,M,9,5550,1,Office Supplies,Storage & Organizations
6695,C,Road,5,3,261,13.05,4,medium,04-01-2022,13-01-2022,F,5,4623,1,Office Supplies,Storage & Organizations
6696,F,Road,3,5,254,12.7,3,medium,13-08-2022,17-08-2022,M,5,4946,0,Office Supplies,Storage & Organizations
6697,D,Road,3,4,151,7.55,4,medium,24-01-2022,29-01-2022,F,1,4587,1,Office Supplies,Storage & Organizations
6698,F,Road,5,1,187,9.35,4,medium,28-09-2020,03-10-2020,F,9,5657,1,Office Supplies,Storage & Organizations
6699,A,Road,4,5,139,6.95,2,medium,25-08-2022,02-09-2022,F,1,4606,0,Office Supplies,Storage & Organizations
6700,B,Road,5,2,173,8.65,2,high,03-09-2020,12-09-2020,F,10,4741,0,Office Supplies,Storage & Organizations
6701,C,Road,3,3,136,6.8,3,low,26-12-2020,03-01-2021,M,10,5175,0,Furniture,Storage & Organizations
6702,F,Road,4,1,272,13.6,4,high,10-07-2023,13-07-2023,M,1,5597,0,Office Supplies,Storage & Organizations
6703,D,Road,6,4,116,5.8,3,low,09-07-2023,15-07-2023,M,6,4649,0,Furniture,Storage & Organizations
6704,F,Road,4,2,181,9.05,3,low,29-05-2020,07-06-2020,M,10,4212,1,Furniture,Storage & Organizations
6705,A,Road,5,3,230,11.5,3,medium,31-10-2021,09-11-2021,M,4,4914,1,Office Supplies,Storage & Organizations
6706,B,Road,2,5,127,6.35,3,medium,23-03-2021,29-03-2021,F,3,5964,0,Office Supplies,Storage & Organizations
6707,C,Road,3,1,182,9.1,3,low,16-08-2022,24-08-2022,M,2,5760,0,Furniture,Storage & Organizations
6708,F,Road,3,1,186,9.3,2,medium,12-09-2020,20-09-2020,F,7,4556,0,Office Supplies,Storage & Organizations
6709,D,Flight,5,1,271,13.55,4,low,17-05-2021,23-05-2021,M,3,4610,1,Furniture,Storage & Organizations
6710,F,Flight,5,3,171,8.55,2,medium,29-02-2020,07-03-2020,F,1,5385,1,Office Supplies,Storage & Organizations
6711,A,Flight,4,3,238,11.9,2,medium,02-03-2021,12-03-2021,F,2,5328,0,Office Supplies,Storage & Organizations
6712,B,Flight,4,4,184,9.2,3,low,25-09-2021,04-10-2021,M,8,4453,1,Furniture,Storage & Organizations
6713,C,Flight,5,2,214,10.7,2,low,12-08-2021,22-08-2021,F,8,4767,0,Furniture,Storage & Organizations
6714,F,Flight,4,4,279,13.95,6,medium,07-05-2022,15-05-2022,M,5,4898,1,Office Supplies,Storage & Organizations
6715,D,Flight,3,2,168,8.4,4,low,10-04-2021,18-04-2021,F,1,4184,1,Furniture,Storage & Organizations
6716,F,Flight,6,4,221,11.05,5,medium,04-05-2020,10-05-2020,M,8,4511,1,Office Supplies,Storage & Organizations
6717,A,Flight,3,5,260,13,3,medium,20-08-2022,30-08-2022,M,7,5379,1,Office Supplies,Storage & Organizations
6718,B,Flight,4,3,204,10.2,3,medium,29-07-2023,02-08-2023,M,2,5010,0,Office Supplies,Storage & Organizations
6719,C,Flight,4,2,142,7.1,3,medium,21-12-2020,28-12-2020,F,6,4918,0,Office Supplies,Storage & Organizations
6720,F,Flight,4,3,178,8.9,3,medium,31-05-2022,04-06-2022,M,3,5669,0,Office Supplies,Storage & Organizations
6721,D,Flight,2,1,203,10.15,3,medium,19-03-2021,22-03-2021,M,6,4234,0,Office Supplies,Storage & Organizations
6722,F,Flight,4,2,180,9,4,medium,21-11-2023,24-11-2023,M,9,4329,0,Office Supplies,Storage & Organizations
6723,A,Flight,4,4,193,9.65,3,medium,26-04-2020,03-05-2020,F,3,4596,0,Office Supplies,Storage & Organizations
6724,B,Flight,5,4,99,4.95,2,high,17-09-2021,26-09-2021,F,4,4259,0,Office Supplies,Storage & Organizations
6725,C,Flight,3,1,250,12.5,3,low,19-04-2021,24-04-2021,M,1,4347,0,Furniture,Storage & Organizations
6726,F,Flight,4,1,152,7.6,3,medium,10-12-2021,12-12-2021,F,3,4250,1,Office Supplies,Storage & Organizations
6727,D,Flight,4,1,265,13.25,2,low,28-10-2023,31-10-2023,F,10,5418,1,Furniture,Storage & Organizations
6728,F,Flight,2,3,226,11.3,2,medium,30-01-2023,02-02-2023,M,2,4566,0,Office Supplies,Storage & Organizations
6729,A,Flight,3,3,234,11.7,3,low,14-05-2023,24-05-2023,M,3,4405,0,Furniture,Storage & Organizations
6730,B,Flight,4,3,225,11.25,2,high,21-09-2020,29-09-2020,F,4,4732,0,Office Supplies,Storage & Organizations
6731,C,Ship,3,5,161,8.05,2,medium,22-06-2020,25-06-2020,M,9,4623,0,Office Supplies,Storage & Organizations
6732,F,Ship,5,2,246,12.3,3,medium,05-06-2020,07-06-2020,F,10,5110,0,Office Supplies,Storage & Organizations
6733,D,Ship,4,5,162,8.1,3,medium,17-03-2023,27-03-2023,F,10,4850,1,Office Supplies,Storage & Organizations
6734,F,Ship,4,4,135,6.75,3,medium,24-01-2020,01-02-2020,M,2,5016,0,Office Supplies,Storage & Organizations
6735,A,Ship,4,3,201,10.05,2,low,08-10-2023,13-10-2023,F,10,4875,0,Furniture,Storage & Organizations
6736,B,Ship,6,4,235,11.75,6,low,28-12-2021,04-01-2022,M,1,5533,1,Furniture,Storage & Organizations
6737,C,Ship,5,2,214,10.7,2,low,09-12-2021,18-12-2021,F,10,5192,0,Furniture,Storage & Organizations
6738,F,Ship,6,3,245,12.25,5,medium,11-05-2020,17-05-2020,F,8,5678,1,Office Supplies,Storage & Organizations
6739,D,Ship,5,5,192,9.6,2,low,14-05-2021,21-05-2021,M,10,5564,0,Furniture,Storage & Organizations
6740,F,Ship,5,5,179,8.95,5,low,28-09-2021,07-10-2021,M,3,4333,1,Furniture,Storage & Organizations
6741,A,Ship,6,3,210,10.5,4,medium,18-05-2021,21-05-2021,M,9,5440,0,Office Supplies,Storage & Organizations
6742,B,Ship,3,2,209,10.45,2,medium,13-09-2020,20-09-2020,F,2,4635,0,Office Supplies,Storage & Organizations
6743,C,Ship,4,2,200,10,3,medium,06-12-2020,08-12-2020,M,7,4323,0,Office Supplies,Storage & Organizations
6744,F,Ship,6,3,165,8.25,5,medium,16-11-2023,21-11-2023,M,5,4871,0,Office Supplies,Storage & Organizations
6745,D,Ship,3,5,168,8.4,3,medium,28-01-2021,07-02-2021,M,7,4296,0,Office Supplies,Storage & Organizations
6746,F,Ship,4,4,203,10.15,2,low,25-02-2023,28-02-2023,F,10,5192,0,Furniture,Storage & Organizations
6747,A,Ship,4,5,202,10.1,3,medium,07-02-2021,15-02-2021,M,8,5416,0,Office Supplies,Storage & Organizations
6748,B,Ship,4,2,266,13.3,3,medium,02-02-2022,12-02-2022,F,2,5252,1,Office Supplies,Storage & Organizations
6749,C,Ship,2,1,248,12.4,6,low,14-03-2020,21-03-2020,F,2,5182,0,Furniture,Storage & Organizations
6750,F,Ship,5,3,173,8.65,3,low,15-12-2023,21-12-2023,M,5,5395,0,Furniture,Storage & Organizations
6751,D,Ship,2,4,156,7.8,3,medium,06-04-2020,15-04-2020,F,8,5668,1,Office Supplies,Storage & Organizations
6752,F,Ship,3,5,109,5.45,2,high,21-07-2023,27-07-2023,M,2,5978,1,Office Supplies,Storage & Organizations
6753,A,Ship,3,4,250,12.5,3,low,25-08-2022,04-09-2022,M,6,4830,1,Furniture,Storage & Organizations
6754,B,Ship,2,4,195,9.75,4,medium,21-08-2022,23-08-2022,M,3,5641,1,Office Supplies,Storage & Organizations
6755,C,Ship,4,1,160,8,5,low,20-04-2021,29-04-2021,F,10,4018,1,Furniture,Storage & Organizations
6756,F,Ship,2,5,189,9.45,3,low,21-10-2021,27-10-2021,F,5,5320,0,Furniture,Storage & Organizations
6757,D,Ship,4,3,239,11.95,3,medium,28-03-2021,07-04-2021,M,9,5897,1,Office Supplies,Storage & Organizations
6758,F,Ship,3,3,204,10.2,2,medium,27-01-2021,30-01-2021,F,5,5399,0,Office Supplies,Storage & Organizations
6759,A,Ship,4,5,156,7.8,3,low,30-01-2021,07-02-2021,M,5,4610,0,Furniture,Storage & Organizations
6760,B,Ship,5,2,192,9.6,3,high,10-06-2020,14-06-2020,F,7,5695,1,Office Supplies,Storage & Organizations
6761,C,Ship,4,2,233,11.65,2,low,28-07-2021,02-08-2021,M,7,5546,1,Furniture,Storage & Organizations
6762,F,Ship,5,3,253,12.65,3,low,28-12-2020,04-01-2021,F,3,5944,1,Furniture,Storage & Organizations
6763,D,Ship,2,1,277,13.85,6,low,14-02-2022,22-02-2022,M,10,4165,0,Furniture,Storage & Organizations
6764,F,Ship,4,2,211,10.55,2,low,05-05-2022,07-05-2022,F,9,5883,1,Furniture,Storage & Organizations
6765,A,Ship,6,4,172,8.6,6,medium,16-06-2022,22-06-2022,F,10,5554,1,Office Supplies,Storage & Organizations
6766,B,Ship,5,4,211,10.55,4,low,28-11-2021,03-12-2021,F,4,4498,1,Furniture,Storage & Organizations
6767,C,Ship,2,3,248,12.4,4,high,03-07-2022,12-07-2022,F,2,4521,0,Office Supplies,Storage & Organizations
6768,F,Ship,3,4,176,8.8,3,medium,29-10-2022,06-11-2022,M,4,5623,0,Office Supplies,Storage & Organizations
6769,D,Ship,4,1,100,5,6,medium,20-09-2020,30-09-2020,M,6,5841,0,Office Supplies,Storage & Organizations
6770,F,Ship,5,5,195,9.75,4,low,17-11-2023,25-11-2023,F,1,4393,1,Furniture,Storage & Organizations
6771,A,Ship,3,2,137,6.85,3,low,16-06-2021,19-06-2021,F,4,5617,0,Furniture,Storage & Organizations
6772,B,Ship,4,4,195,9.75,4,medium,21-04-2022,23-04-2022,M,2,5464,0,Office Supplies,Storage & Organizations
6773,C,Ship,2,5,185,9.25,3,low,17-10-2020,21-10-2020,F,9,5810,0,Furniture,Storage & Organizations
6774,F,Ship,3,1,250,12.5,2,medium,22-11-2020,28-11-2020,F,9,4753,0,Office Supplies,Storage & Organizations
6775,D,Ship,3,2,150,7.5,3,low,18-02-2020,24-02-2020,M,2,4660,1,Furniture,Storage & Organizations
6776,F,Ship,3,1,166,8.3,3,medium,10-08-2023,19-08-2023,F,9,4251,0,Office Supplies,Storage & Organizations
6777,A,Ship,4,5,257,12.85,2,medium,02-01-2021,08-01-2021,M,5,4127,0,Office Supplies,Storage & Organizations
6778,B,Ship,5,1,249,12.45,3,medium,19-05-2020,26-05-2020,F,5,4392,0,Office Supplies,Storage & Organizations
6779,C,Ship,5,5,268,13.4,3,medium,09-09-2020,14-09-2020,F,7,4480,1,Office Supplies,Storage & Organizations
6780,F,Ship,4,4,273,13.65,3,low,07-12-2020,11-12-2020,F,3,5749,1,Furniture,Storage & Organizations
6781,D,Ship,5,5,246,12.3,3,medium,31-07-2023,07-08-2023,F,9,4107,0,Office Supplies,Storage & Organizations
6782,F,Ship,5,1,142,7.1,6,medium,17-12-2020,25-12-2020,M,1,4843,1,Office Supplies,Storage & Organizations
6783,A,Ship,5,2,168,8.4,2,low,15-05-2020,20-05-2020,M,6,5464,1,Furniture,Storage & Organizations
6784,B,Ship,5,2,249,12.45,3,low,21-09-2020,28-09-2020,M,9,5978,1,Furniture,Storage & Organizations
6785,C,Ship,3,1,220,11,3,medium,27-07-2022,02-08-2022,F,6,5319,0,Office Supplies,Storage & Organizations
6786,F,Ship,4,3,189,9.45,2,low,26-03-2021,03-04-2021,F,7,4765,0,Furniture,Storage & Organizations
6787,D,Ship,5,2,237,11.85,4,low,01-05-2020,04-05-2020,M,5,5623,1,Furniture,Storage & Organizations
6788,F,Ship,4,4,247,12.35,3,high,06-03-2020,12-03-2020,F,2,5324,1,Office Supplies,Storage & Organizations
6789,A,Ship,3,4,250,12.5,6,medium,21-06-2021,24-06-2021,M,1,4543,1,Office Supplies,Storage & Organizations
6790,B,Ship,4,4,207,10.35,10,low,21-01-2023,25-01-2023,F,1,4602,0,Furniture,Storage & Organizations
6791,C,Ship,4,4,201,10.05,10,low,27-12-2023,03-01-2024,M,3,4202,0,Furniture,Storage & Organizations
6792,F,Ship,4,2,142,7.1,2,low,08-09-2023,18-09-2023,M,6,5326,0,Furniture,Storage & Organizations
6793,D,Ship,3,1,207,10.35,2,low,09-12-2021,15-12-2021,M,7,4639,0,Furniture,Storage & Organizations
6794,F,Ship,3,1,214,10.7,2,high,29-03-2020,04-04-2020,F,10,4310,0,Office Supplies,Storage & Organizations
6795,A,Ship,4,3,134,6.7,10,medium,11-08-2023,15-08-2023,M,8,4337,0,Office Supplies,Storage & Organizations
6796,B,Ship,3,4,178,8.9,8,medium,14-05-2021,19-05-2021,F,6,4146,0,Office Supplies,Storage & Organizations
6797,C,Ship,4,1,186,9.3,2,low,25-05-2021,02-06-2021,M,4,4686,1,Furniture,Storage & Organizations
6798,F,Ship,4,4,250,12.5,3,low,29-01-2021,01-02-2021,M,10,4505,0,Furniture,Storage & Organizations
6799,D,Ship,4,3,172,8.6,3,medium,26-03-2022,03-04-2022,F,10,5434,0,Office Supplies,Storage & Organizations
6800,F,Ship,3,4,265,13.25,10,low,06-05-2022,09-05-2022,M,10,4049,0,Furniture,Storage & Organizations
6801,A,Ship,3,2,158,7.9,7,medium,14-02-2023,18-02-2023,M,10,4244,1,Office Supplies,Storage & Organizations
6802,B,Ship,3,1,180,9,7,medium,19-03-2020,23-03-2020,M,10,5536,0,Office Supplies,Storage & Organizations
6803,C,Ship,4,2,173,8.65,3,high,20-09-2022,30-09-2022,F,3,5364,0,Office Supplies,Storage & Organizations
6804,F,Ship,3,3,153,7.65,10,medium,06-07-2023,12-07-2023,M,10,5772,0,Office Supplies,Storage & Organizations
6805,D,Ship,4,4,182,9.1,3,high,26-09-2023,03-10-2023,F,7,5197,0,Office Supplies,Storage & Organizations
6806,F,Ship,3,1,192,9.6,3,low,18-01-2020,20-01-2020,F,9,5004,0,Furniture,Storage & Organizations
6807,A,Ship,6,5,285,14.25,7,medium,15-03-2022,24-03-2022,M,9,4112,0,Office Supplies,Storage & Organizations
6808,B,Ship,3,3,151,7.55,6,low,23-06-2020,01-07-2020,F,6,4279,0,Furniture,Storage & Organizations
6809,C,Ship,3,3,242,12.1,2,low,29-09-2023,02-10-2023,F,7,4501,0,Furniture,Storage & Organizations
6810,F,Ship,3,1,237,11.85,3,medium,09-06-2022,16-06-2022,F,4,5860,0,Office Supplies,Storage & Organizations
6811,D,Ship,5,2,259,12.95,5,low,30-04-2020,02-05-2020,F,7,1032,0,Furniture,Storage & Organizations
6812,F,Ship,4,3,249,12.45,6,low,29-11-2021,05-12-2021,M,2,1046,1,Furniture,Storage & Organizations
6813,A,Ship,6,3,289,14.45,4,high,01-07-2022,05-07-2022,F,5,1708,0,Office Supplies,Storage & Organizations
6814,B,Ship,6,3,308,15.4,5,medium,05-11-2023,15-11-2023,F,4,1118,0,Office Supplies,Storage & Organizations
6815,C,Ship,6,3,297,14.85,4,medium,06-05-2021,08-05-2021,M,2,1954,0,Office Supplies,Storage & Organizations
6816,F,Ship,4,1,255,12.75,5,low,10-06-2021,12-06-2021,F,4,1005,0,Furniture,Storage & Organizations
6817,D,Ship,6,1,266,13.3,4,low,03-01-2023,10-01-2023,M,9,1287,0,Furniture,Storage & Organizations
6818,F,Ship,7,2,302,15.1,4,low,05-01-2023,15-01-2023,M,6,1632,0,Furniture,Storage & Organizations
6819,A,Ship,4,5,223,11.15,5,medium,28-09-2022,06-10-2022,F,6,1579,1,Office Supplies,Storage & Organizations
6820,B,Ship,6,5,261,13.05,4,low,02-05-2023,04-05-2023,F,9,1266,1,Furniture,Storage & Organizations
6821,C,Ship,4,4,273,13.65,5,low,27-02-2021,03-03-2021,M,10,1316,0,Furniture,Storage & Organizations
6822,F,Ship,6,3,260,13,4,low,22-03-2020,26-03-2020,M,9,1131,1,Furniture,Storage & Organizations
6823,D,Ship,5,2,266,13.3,5,low,26-02-2023,04-03-2023,F,1,1504,1,Furniture,Storage & Organizations
6824,F,Road,2,1,164,8.2,5,low,05-10-2021,08-10-2021,M,4,1708,0,Furniture,Storage & Organizations
6825,A,Road,5,3,240,12,6,medium,29-08-2023,31-08-2023,F,3,1321,0,Office Supplies,Storage & Organizations
6826,B,Road,6,3,305,15.25,4,medium,05-11-2021,09-11-2021,F,9,1479,1,Office Supplies,Storage & Organizations
6827,C,Road,5,4,248,12.4,5,low,22-08-2022,27-08-2022,F,3,1471,1,Furniture,Storage & Organizations
6828,F,Road,7,3,279,13.95,4,medium,20-05-2021,29-05-2021,M,8,1060,0,Office Supplies,Storage & Organizations
6829,D,Road,5,4,244,12.2,6,low,23-07-2021,27-07-2021,F,10,1978,1,Furniture,Storage & Organizations
6830,F,Road,5,4,267,13.35,5,low,17-11-2023,21-11-2023,M,9,1017,0,Furniture,Storage & Organizations
6831,A,Road,7,1,275,13.75,4,medium,24-02-2023,27-02-2023,M,7,1754,0,Office Supplies,Storage & Organizations
6832,B,Road,5,1,168,8.4,2,low,07-01-2023,12-01-2023,F,10,4240,0,Furniture,Storage & Organizations
6833,C,Road,5,2,249,12.45,3,low,05-07-2022,08-07-2022,M,2,4696,0,Furniture,Storage & Organizations
6834,F,Road,3,2,220,11,3,medium,25-12-2021,28-12-2021,M,7,4555,1,Office Supplies,Storage & Organizations
6835,D,Road,4,4,189,9.45,2,low,09-03-2022,12-03-2022,M,5,4553,0,Furniture,Storage & Organizations
6836,F,Road,5,2,237,11.85,4,low,28-08-2023,05-09-2023,F,9,5922,0,Furniture,Storage & Organizations
6837,A,Road,4,3,247,12.35,3,high,02-05-2021,10-05-2021,F,1,5214,0,Office Supplies,Storage & Organizations
6838,B,Road,3,3,250,12.5,6,medium,02-12-2023,10-12-2023,M,9,5322,1,Office Supplies,Storage & Organizations
6839,C,Road,4,3,207,10.35,10,low,10-05-2023,17-05-2023,F,9,4179,0,Furniture,Storage & Organizations
6840,F,Road,4,5,201,10.05,10,low,30-10-2020,02-11-2020,F,7,5340,0,Furniture,Storage & Organizations
6841,D,Road,4,5,142,7.1,2,low,05-01-2021,14-01-2021,M,2,4472,0,Furniture,Storage & Organizations
6842,F,Road,3,4,207,10.35,2,low,15-02-2021,22-02-2021,M,6,5852,1,Furniture,Storage & Organizations
6843,A,Road,3,2,214,10.7,2,high,18-05-2023,20-05-2023,F,7,4938,0,Office Supplies,Storage & Organizations
6844,B,Road,4,5,134,6.7,10,medium,05-10-2021,13-10-2021,M,5,4244,0,Office Supplies,Storage & Organizations
6845,C,Road,3,3,178,8.9,8,medium,04-06-2020,12-06-2020,M,8,4774,1,Office Supplies,Storage & Organizations
6846,F,Flight,4,2,186,9.3,2,low,28-06-2021,03-07-2021,M,2,5604,1,Furniture,Storage & Organizations
6847,D,Flight,4,2,250,12.5,3,low,03-05-2020,08-05-2020,M,5,4488,1,Furniture,Storage & Organizations
6848,F,Flight,4,1,172,8.6,3,medium,29-10-2020,05-11-2020,F,10,5106,1,Office Supplies,Storage & Organizations
6849,A,Flight,3,5,265,13.25,10,low,28-12-2021,30-12-2021,M,6,4380,0,Furniture,Storage & Organizations
6850,B,Flight,3,1,158,7.9,7,medium,22-08-2021,01-09-2021,F,6,4166,0,Office Supplies,Storage & Organizations
6851,C,Flight,3,3,180,9,7,medium,31-08-2022,09-09-2022,F,4,5068,1,Office Supplies,Storage & Organizations
6852,F,Flight,4,1,173,8.65,3,high,04-07-2023,12-07-2023,M,1,5749,0,Office Supplies,Storage & Organizations
6853,D,Flight,3,4,153,7.65,10,medium,15-05-2022,25-05-2022,F,4,5456,1,Office Supplies,Storage & Organizations
6854,F,Flight,4,3,182,9.1,3,high,05-06-2020,07-06-2020,F,3,5624,0,Office Supplies,Storage & Organizations
6855,A,Flight,3,5,192,9.6,3,low,27-02-2021,09-03-2021,F,7,4056,1,Furniture,Storage & Organizations
6856,B,Flight,6,3,285,14.25,7,medium,23-02-2022,28-02-2022,M,7,5030,1,Office Supplies,Storage & Organizations
6857,C,Flight,3,5,151,7.55,6,low,16-02-2022,23-02-2022,M,8,4692,1,Furniture,Storage & Organizations
6858,F,Flight,3,5,242,12.1,2,low,22-07-2021,29-07-2021,M,1,5803,1,Furniture,Storage & Organizations
6859,D,Flight,3,1,237,11.85,3,medium,11-03-2023,13-03-2023,F,1,4476,1,Office Supplies,Storage & Organizations
6860,F,Flight,5,4,259,12.95,5,low,16-02-2020,24-02-2020,M,10,1177,0,Furniture,Storage & Organizations
6861,A,Flight,4,2,249,12.45,6,low,19-01-2023,28-01-2023,F,9,1673,1,Furniture,Storage & Organizations
6862,B,Flight,6,4,289,14.45,4,high,15-04-2022,21-04-2022,F,4,1822,0,Office Supplies,Storage & Organizations
6863,C,Flight,6,2,308,15.4,5,medium,15-05-2020,20-05-2020,M,4,1303,0,Office Supplies,Storage & Organizations
6864,F,Flight,6,3,297,14.85,4,medium,26-08-2021,02-09-2021,M,1,1080,0,Office Supplies,Storage & Organizations
6865,D,Flight,4,3,255,12.75,5,low,04-01-2022,13-01-2022,M,1,1192,0,Furniture,Storage & Organizations
6866,F,Flight,6,3,266,13.3,4,low,08-02-2023,13-02-2023,F,9,1876,0,Furniture,Storage & Organizations
6867,A,Flight,7,1,302,15.1,4,low,28-12-2022,06-01-2023,M,4,1647,0,Furniture,Storage & Organizations
6868,B,Ship,4,4,223,11.15,5,medium,06-02-2023,16-02-2023,M,1,1124,1,Office Supplies,Storage & Organizations
6869,C,Ship,6,4,261,13.05,4,low,11-05-2021,15-05-2021,F,5,1794,1,Furniture,Storage & Organizations
6870,F,Ship,4,2,273,13.65,5,low,28-07-2022,07-08-2022,F,4,1223,1,Furniture,Storage & Organizations
6871,D,Ship,6,3,260,13,4,low,26-07-2022,05-08-2022,F,10,1140,0,Furniture,Storage & Organizations
6872,F,Ship,5,2,266,13.3,5,low,20-10-2020,23-10-2020,F,10,1274,1,Furniture,Storage & Organizations
6873,A,Ship,2,3,164,8.2,5,low,22-08-2021,25-08-2021,M,7,1243,0,Furniture,Storage & Organizations
6874,B,Ship,5,2,240,12,6,medium,09-06-2021,14-06-2021,F,2,1852,1,Office Supplies,Storage & Organizations
6875,C,Ship,6,5,305,15.25,4,medium,23-09-2022,25-09-2022,F,9,1072,0,Office Supplies,Storage & Organizations
6876,F,Ship,5,2,248,12.4,5,low,16-12-2023,24-12-2023,M,4,1284,1,Furniture,Storage & Organizations
6877,D,Ship,7,2,279,13.95,4,medium,08-07-2023,10-07-2023,M,5,1210,0,Office Supplies,Storage & Organizations
6878,F,Ship,5,2,244,12.2,6,low,18-07-2022,28-07-2022,M,5,1702,1,Furniture,Storage & Organizations
6879,A,Ship,5,1,237,11.85,5,medium,02-09-2023,05-09-2023,F,2,1429,1,Office Supplies,Storage & Organizations
6880,B,Ship,4,2,251,12.55,6,medium,27-06-2021,05-07-2021,F,1,1154,1,Office Supplies,Storage & Organizations
6881,C,Ship,4,4,247,12.35,6,low,10-06-2022,17-06-2022,F,4,1044,0,Furniture,Storage & Organizations
6882,F,Ship,5,2,262,13.1,6,medium,23-09-2023,27-09-2023,F,4,1532,1,Office Supplies,Storage & Organizations
6883,D,Ship,5,3,223,11.15,5,medium,04-03-2021,13-03-2021,M,10,1170,1,Office Supplies,Storage & Organizations
6884,F,Ship,5,5,275,13.75,5,low,01-12-2020,06-12-2020,F,3,1145,0,Furniture,Storage & Organizations
6885,A,Ship,6,3,139,6.95,6,medium,06-01-2021,08-01-2021,F,8,1284,1,Office Supplies,Storage & Organizations
6886,B,Ship,4,3,245,12.25,6,low,27-06-2022,04-07-2022,F,3,1155,0,Furniture,Storage & Organizations
6887,C,Ship,6,3,278,13.9,4,high,01-05-2020,04-05-2020,F,3,1033,0,Office Supplies,Storage & Organizations
6888,F,Ship,5,3,243,12.15,5,low,02-09-2023,05-09-2023,M,2,1776,1,Furniture,Storage & Organizations
6889,D,Ship,7,3,309,15.45,4,low,23-10-2021,02-11-2021,F,1,1290,1,Furniture,Storage & Organizations
6890,F,Ship,6,2,279,13.95,4,low,08-09-2022,13-09-2022,M,1,1150,1,Furniture,Storage & Organizations
6891,A,Ship,6,3,247,12.35,4,medium,31-08-2022,04-09-2022,M,3,1903,0,Office Supplies,Storage & Organizations
6892,B,Ship,5,1,235,11.75,5,medium,06-11-2020,16-11-2020,F,6,1059,1,Office Supplies,Storage & Organizations
6893,C,Ship,5,5,268,13.4,5,medium,16-07-2023,21-07-2023,F,10,1906,0,Office Supplies,Storage & Organizations
6894,F,Ship,6,1,309,15.45,4,medium,04-03-2020,07-03-2020,M,9,1305,0,Office Supplies,Storage & Organizations
6895,D,Ship,6,5,308,15.4,4,low,02-06-2023,04-06-2023,M,2,1125,1,Furniture,Storage & Organizations
